warehouseID,regionID,transportationCosts,travelTime
45,475,49617.15455053821,0.0
23,324,49623.961227425076,0.0
18,326,65256.99170604503,0.0
42,51,73653.58226532621,0.0
37,246,324407.34545771417,0.0
33,48,385165.95122031006,0.0
13,302,90126.24435116106,2.477579355239868
49,395,108099.94000970955,3.341315507888794
14,419,315518.7775813092,4.000807285308838
44,374,76063.91619955507,4.227675914764404
22,27,124438.32571465346,5.132450580596924
40,366,181180.34756385515,5.820474624633789
1,5,316666.55765914195,5.993627071380615
21,17,195585.0527019592,6.561305046081543
19,210,222444.17007169913,6.5935235023498535
47,505,468255.43495225627,6.6954755783081055
16,403,129560.2523411457,7.239818096160889
17,158,187545.04977296348,7.338951110839844
5,227,188260.10481750433,7.510934352874756
8,438,2158668.235659658,7.874258518218994
26,26,275139.74024414894,8.0
31,159,292661.51686213457,8.395474433898926
24,251,192488.2500778034,9.724592208862305
50,410,762092.8406525658,10.75501823425293
9,471,231001.9611387755,10.790072441101074
20,201,333574.83834202326,11.176560401916504
48,305,896014.5156796861,11.92337703704834
46,276,272642.5133383132,12.027850151062012
19,229,27015.96691737627,12.1327543258667
36,24,314028.0322704,12.41636085510254
49,343,32526.640119568736,12.910725593566896
25,464,208394.35468373628,13.025615692138672
41,29,838546.9914132965,13.09303855895996
27,412,198682.84288530628,13.146611213684082
43,101,312699.7764932104,13.148547172546388
15,498,526469.1024087669,13.631650924682615
13,439,17355.07439485385,13.705595016479492
3,88,191307.8079696935,14.35606288909912
3,91,402969.74022622866,14.509766578674316
4,166,250508.81313196244,14.819974899291992
39,65,471045.5899544694,15.204424858093262
18,241,435634.244432632,15.374992370605469
48,157,385813.7543994212,15.720073699951172
28,322,1372176.7260042268,16.102975845336914
28,90,2238740.9618070177,16.250625610351562
2,37,344913.7031282752,16.381397247314453
31,171,10795.549576613654,17.048675537109375
10,121,49994.6314954728,17.17422103881836
34,300,127323.09929046434,17.462060928344727
27,378,38986.54112650388,17.99005126953125
40,54,18021.76697602403,18.827985763549805
36,383,76027.7146826374,19.47701835632324
20,156,101169.68276970036,19.949434280395508
32,275,39696.81096655069,20.254650115966797
10,493,104024.49955541083,20.294261932373047
28,244,3238344.246416682,20.92510223388672
3,139,144742.73076630489,21.0
25,2,42531.846103420015,21.15663719177246
50,273,9430.955618767963,21.177011489868164
37,431,9730.699971495997,21.674938201904297
43,202,253821.00520434085,21.842418670654297
50,12,25242.1205886594,21.97328758239746
46,53,1470993.8031811134,22.001354217529297
45,330,109357.1464218908,22.037572860717773
24,293,62885.91866744979,22.08072853088379
32,500,199315.5209741591,22.08310890197754
25,328,32734.456293800507,22.13622283935547
34,23,36292.975483399685,22.256832122802734
23,389,134105.90930781074,22.870943069458008
48,34,63035.22511793428,23.0
41,164,62149.94282731416,23.455774307250977
9,477,10184.352827047685,23.66050910949707
18,167,10566.367053679984,24.0
27,352,20143.459645475756,24.640344619750977
1,19,15221.089089307281,25.0
33,460,86614.93916575775,25.0
41,64,109628.62360357428,25.0
39,345,150990.7003279986,25.0
33,271,261741.0387993388,25.0
26,481,8190.215734229772,26.0
36,442,116710.46832152724,26.0
48,55,140046.4970254611,26.0
24,233,10950.935415401433,27.0
2,39,38324.261089921405,28.0
48,67,48080.29666195666,28.0
47,118,80639.56987810529,28.0
4,198,91502.40125438299,28.0
4,179,6745.344429886227,29.0
25,221,26508.464497183046,30.0
1,32,36687.40331689158,30.0
41,132,56163.784316278085,30.0
33,253,152362.1691760728,30.0
8,319,942786.0685095263,30.0
46,447,94893.48561636086,30.515052795410156
5,230,9098.243301480448,30.627784729003903
10,127,10870.256454251059,30.723087310791016
21,329,3322.0286043954943,30.947898864746097
44,174,4128.951202468669,31.0
26,476,14637.866898164484,31.0
26,11,17257.650914930837,31.0
21,510,25248.875849637614,31.0
39,138,75160.20232129382,31.0
3,111,88986.15593988204,31.0
34,231,3727.047549339184,31.484018325805664
20,205,130658.63276547843,31.75287818908691
9,474,45035.80181380103,31.889869689941406
36,315,15757.707119211556,31.925073623657227
36,402,38891.78163393529,32.0
41,191,27194.625183158478,32.04951095581055
37,47,1550.3327590980352,32.104698181152344
47,382,40862.972504838675,32.151615142822266
46,33,19708.801388391315,32.275203704833984
17,272,12224.361552669594,32.59501266479492
49,172,1007.1771574327747,32.605987548828125
50,478,66631.03965047716,32.89432144165039
40,28,46312.35273643333,33.0
33,351,65301.962817912296,33.0
36,430,51588.19798845413,33.00837707519531
45,513,32344.21063229384,33.083656311035156
23,396,7247.7994072813335,33.28114700317383
17,350,289451.4596710076,33.401180267333984
15,21,47532.47639268006,33.516700744628906
34,114,13011.295359052167,34.0
33,45,24042.358647237823,34.0
24,283,53970.51998913927,34.0
28,393,387517.2962927719,34.0
21,428,28826.1921638118,34.00666427612305
15,284,27976.635651795543,34.40818786621094
15,103,162349.20690768192,34.56178665161133
49,311,7924.655796697715,35.0
14,123,13384.513464387723,35.0
32,304,16584.27874317063,35.0
10,507,18344.766080246496,35.0
31,80,38844.64375600311,35.0
5,220,4759.32077340285,35.22892761230469
5,218,15305.688271981631,35.83237075805664
32,116,7594.644576273956,35.976539611816406
31,441,10863.76221967842,36.0
21,452,33977.84648400823,36.0
39,468,42017.460961861674,36.0
50,456,70646.56087389839,36.0
3,109,87827.77176483671,36.0
46,482,94977.88219982029,36.0
43,444,209781.16494901042,36.0
3,120,277949.40383085044,36.0
15,145,52593.93690933258,36.63418197631836
31,361,18854.110127972777,37.0
45,124,23573.418638386043,37.0
26,8,42480.5955040989,37.0
3,135,127017.77784904481,37.0
17,117,30814.60838614306,37.31205368041992
8,336,364321.9963023696,37.443809509277344
37,181,3408.8974944420734,38.0
40,170,16013.165008756301,38.0
25,235,37137.643009997446,38.0
32,461,13122.27374027268,38.23553085327149
46,314,11972.01631378559,38.86945724487305
5,226,5671.979876689492,39.0
27,196,17507.90910991546,39.0
26,463,18068.510552550226,39.0
49,267,20180.31432827997,39.0
47,125,21505.761814717942,39.0
45,83,26368.32810297178,39.0
5,223,45511.42270313449,39.0
46,379,100998.37268939182,39.0
28,434,791007.1481414202,39.0
50,71,26946.241144459997,39.67918395996094
49,181,3445.7504403279336,40.0
15,73,5282.114776852199,40.0
50,472,7421.122680353825,40.0
25,72,11399.803735863423,40.0
17,357,59265.647042234006,40.0
36,199,14379.348037144995,40.35056686401367
24,270,10600.074175642229,40.87363052368164
43,297,125161.72729471175,40.90110397338867
50,13,8133.15642773081,41.0
32,499,20755.36909181704,41.0
27,470,36559.031290948544,41.0
23,85,80376.32376628395,41.0
8,429,219235.65093874058,41.0
17,385,247811.46406500295,41.0
13,154,23035.76561078603,42.0
48,32,39093.13468193364,42.0
43,494,46774.22033033668,42.0
34,118,86808.717300474,42.0
27,250,51656.5132655955,42.989498138427734
49,425,5734.598058307269,43.0
1,20,17615.933361425625,43.0
28,93,29536.233570865355,43.0
33,290,41544.78801571223,43.0
17,325,84970.42734952141,43.0
26,506,19546.195116499766,44.0
25,25,46818.44862096852,44.0
4,193,61196.72544139264,44.0
28,321,397632.477644162,44.28266525268555
13,320,57085.3474913649,44.30574798583984
44,404,5640.587058531181,44.46623229980469
14,369,10603.754915794027,45.0
15,94,14790.11612306557,45.0
37,303,14895.182596940156,45.0
27,495,16029.249867279523,45.0
25,483,28652.384573888758,45.0
39,407,31618.57514152165,45.0
18,163,33233.51892161523,45.0
28,153,174544.6726513358,45.0
17,485,210884.75460951042,45.0
19,434,817374.0530794675,45.0
46,445,14654.10952253825,45.17911911010742
49,76,4225.625924704601,46.0
23,200,9236.689363030844,46.0
14,451,24624.323821693462,46.0
2,49,30661.189995129756,46.0
36,440,54751.22464166781,46.0
41,194,56023.10274486934,46.0
50,391,31713.653767709227,47.0
45,424,54812.77925377481,47.0
2,69,63078.074895690355,47.0
1,31,75376.3550639048,47.0
1,55,156568.8365621728,47.0
8,435,265903.54386369564,47.0
8,372,360165.2203847555,47.0
22,273,10860.144399568959,48.0
41,176,13173.249749312037,48.0
13,342,19581.083812249275,48.0
15,206,28488.211047295717,48.0
